,Reviews
0,use amazon com often 99 percent time excellent job volume business understandable occasionally problem arise recently ordered twin size bed bulky item pricey normal order delivery date two week later order receive day item delivered date amazon tracking info stated would contact delivery company never received item amazon went amazon directly found item made city delivery company marked lost first lose package loader sign unloaders sign driver pilot package damaged transit even become lost stolen reached immediately determine wanted replace item get refund talking amazon customer service chose reorder item asked could sent like amazon prime service expedited delivery inconvenience sound like unreasonable request circumstance since wait another two week could attempting reorder said problem reordering item would get refund big problem already received mattress belongs bed replacement would better least could maybe offered dollars50 gift card something keep business either refund processed returned seller page reordered bed without problem wait two week see order make think big company amazon could handle problem little better read full review
1,amazon leisurely shop comfort home anything amazon automatically show item compare keep searching better price etc shipping cost usually free inexpensive save item previously viewed add item wish list cart purchase later date review past order payment method stored securely account item arrives reason return click return order page next item returning emailed return label ship free ups go kohl store return shipping free return process payment account credited amazon even get item back price item extremely competitive need contact customer service get immediate response help every possible way need say read full review
2,happy purchase since shopping amazon website never return item buy member family friend like zoom see photo item purchasing angle help much decision making really make purchase description product well like track item transit convenience shopping online best get everything shopping online amazon option pick package location nearest great love amazon prime well forget recommend amazon anyone come contact looking make purchase always say look amazon comfort convenience wherever make purchase come right door
3,absolutely love amazon selection price notification return easy customer friendly disabled veteran metal rod screw lower back resistance cold low cold painful bought christmas present store 2 14 grandchild also able avoid post office 4 gift sent directly 2 distant state return love easy send back print label repack leave mailman others take local kohl package show qr code amazon sent show phone print hour money back account kohl give return receipt 25 percent store coupon good week savvy lol issue required phone call directly amazon taken care courtesy friendliness quick resolution problem see love amazon continue buy dollars5 le item dollars1000 plus item go wrong read full review
4,shopped amazon year always find pleasure deal live isolated area shopping unless want drive 200 mile store really matter amazon deliver want need want accepts return without hassle may find product le money place figure tax shipping always come higher amazon bought item clothing throughout year also returned shop buy paper product well stable house always check outlet first always end going amazon many year shopping store without doubt know fact worry return refund outlet issue always rely rep taking care without stress part always come 100 percent u online store like one shopping cover anything one might want buy line product interested along review greatly help making decision purchase continue number one online u see ever changing read full review
5,amazonbasics microwave small 0 7 cu ft 700w work alexa happy took little adjust way work quite happy use microwave much smaller size perfect hold small dinner plate perfectly height accomodate plate plus 3 dome cover ever problem setting wrong alex repeat request back easy clean con microwave wifi need reset microwave sometimes also mean clock set minute plugged
6,like anyone us internet frequently use amazon majority purchase even since whole covid 19 pandemic occasionally return purchase pretty straightforward process hoop jump hidden pitfall honestly think possible make easier recently someone purchased dollars150 worth video rental account immediately changed password contacted amazon next day helped narrow charge could come prevent happening issued refund satisfied customer service experience
7,ordered pair headphone week ago prime member supposed arrive yesterday however instead delivering yesterday notice warning delivery rescheduled today reason amazon disclose usually one day make much difference since headphone meant birthday present amazon royally screwed first time past two year serious issue amazon shipping customer service shipping service use lasership throw package distance often damaging openly steal even though video proof amazon nothing correct issue even refused video trying submit package send ship arrive late month alone shipped four defective item five take time effort get refund especially lose package forget scan return lately blaming mistake pandemic lost broken undelivered stuff ruined pandemic say tried give benefit doubt continued ordering loyal customer used service decade half longer pretend acceptable customer service rude useless instance yesterday reached via chat find package late person end continued giving instruction track package numerous attempt explain phone call went nowhere simply gave responsible many bad day right going whatever avoid using amazon price lowest anymore far prime membership offer zero benefit one day shipping thing want anyway delivery service use game russian roulette might cost package bother amazon best company ever known right anyway worst matter many time blame pandemic unless implement serious change customer service quality control customer abuse read full review
8,see medicaid ebt holder get prime discount men woman fought freedom allows amazon make billion dollar year get prime discount vet 100 percent disabled living fixed income state live say qualify food stamp ebt since use va fall guideline thought since mobile shop exclusively line spend thousand year amazon prime customer could really use break
9,last year november received email amazon regard suspicious activity account prime account using mother account amazon order missed email completely unaware happening personal amazon account february needed order something account account working changed password 4 5 time get access called amazon directly received minimal help continuous response must reach specialist look account trying 5 time someone finally got back email point able reset password even added two step verification secure account oddly soon received two random package home order amazon although ordered ordered account contacted amazon tried use 2 step verification set compromised allowing access account contacted amazon fixed information changed password able access account going set seller account amazon started process saw someone accessed account added card method payment weirdly actual card number zero 0000 00000 000 name jumbled random letter fekoazkzsmwabna noticed quickly deleted card information card information worried credit information would compromised protecting identity theft understand 2 step verification activity account would notify yet received random package name completely unaware contacted amazon could verify account compromised received email letting know amazon closing account due suspicious activity numerous phone call valuable time amazon unable help protect privacy even explain going received email suspending permanently account name closed indefinitely case amazon failed protecting privacy tarnished trust company victim identify theft fraud instead amazon protecting punished trusting amazon security experience horrible want people know security stake amazon protect protect read full review
